ID,Suíte,Cenário,Pré-condições,Passos,Resultado Esperado,Resultado Obtido,Status,Severidade,Evidência,Observações
CT-001,Cadastro - Fluxo Principal,"Cadastro de curso online com todos os campos preenchidos","Estar na página /new-course","1. Preencher 'Nome do curso' com 'Curso de Automação de Testes'
2. Preencher 'Descrição do curso' com 'Curso completo de automação com Cypress'
3. Preencher 'Instrutor' com 'João Silva'
4. Preencher 'Url da imagem de capa' com 'https://picsum.photos/640/480'
5. Preencher 'Data de início' com '2026-04-01'
6. Preencher 'Data de fim' com '2026-05-01'
7. Preencher 'Número de vagas' com '30'
8. Selecionar 'Online' no campo 'Tipo de curso'
9. Preencher 'Link de inscrição' com 'https://example.com/inscricao'
10. Clicar em 'Cadastrar curso'","Mensagem de sucesso exibida; Redirecionamento para '/'; Curso visível na listagem","Curso cadastrado com sucesso. Redirecionamento e exibição na listagem OK.",Aprovado,N/A,evidencias/CT-001.png,
CT-002,Cadastro - Fluxo Principal,"Cadastro de curso presencial com todos os campos preenchidos","Estar na página /new-course","1. Preencher 'Nome do curso' com 'Workshop de QA'
2. Preencher 'Descrição do curso' com 'Workshop prático de garantia de qualidade'
3. Preencher 'Instrutor' com 'Maria Souza'
4. Preencher 'Url da imagem de capa' com 'https://picsum.photos/640/481'
5. Preencher 'Data de início' com '2026-06-10'
6. Preencher 'Data de fim' com '2026-06-12'
7. Preencher 'Número de vagas' com '20'
8. Selecionar 'Presencial' no campo 'Tipo de curso'
9. Preencher 'Endereço' com 'Av. Paulista, 1000 - São Paulo/SP'
10. Clicar em 'Cadastrar curso'","Mensagem de sucesso exibida; Redirecionamento para '/'; Curso visível na listagem","Curso cadastrado com sucesso. Redirecionamento e exibição na listagem OK.",Aprovado,N/A,evidencias/CT-002.png,
CT-003,Cadastro - Fluxo Principal,"Cadastro de múltiplos cursos em sequência","Curso A já cadastrado","1. Acessar /new-course
2. Preencher os campos obrigatórios para 'Curso B'
3. Clicar em 'Cadastrar curso'
4. Verificar listagem","Ambos os cursos visíveis na listagem com IDs distintos","Ambos os cursos aparecem na listagem com IDs diferentes.",Aprovado,N/A,evidencias/CT-003.png,
CT-004,Listagem,"Visualizar listagem vazia quando não há cursos","localStorage limpo (sem a chave @beedoo-qa-tests/courses)","1. Limpar localStorage
2. Acessar a página '/'","Título 'Lista de cursos' visível; Nenhum card exibido","Título exibido; Nenhum card de curso visível.",Aprovado,N/A,evidencias/CT-004.png,
CT-005,Listagem,"Visualizar cursos cadastrados na listagem","Pelo menos 1 curso cadastrado","1. Acessar a página '/'
2. Verificar o card do curso","Card exibe: imagem, tipo, nome, descrição, datas, vagas","Card exibe todos os dados do curso corretamente.",Aprovado,N/A,evidencias/CT-005.png,
CT-006,Listagem,"Exclusão de curso","Pelo menos 1 curso cadastrado","1. Acessar a página '/'
2. Clicar em 'Excluir curso' no card","Mensagem 'Curso excluído com sucesso!'; Curso removido da listagem","Mensagem de sucesso exibida, MAS o curso NÃO é removido do localStorage. Ao recarregar a página o curso reaparece.",Reprovado,Alta,evidencias/CT-006.png,BUG-001: Exclusão não funcional
CT-007,Cenários Negativos,"Cadastro de curso com todos os campos vazios","Estar na página /new-course","1. Não preencher nenhum campo
2. Clicar em 'Cadastrar curso'","Sistema deveria exibir mensagens de validação e bloquear o cadastro","Curso cadastrado com sucesso sem nenhum dado. Nenhuma validação é exibida.",Reprovado,Crítica,evidencias/CT-007.png,BUG-002: Ausência total de validações
CT-008,Cenários Negativos,"Cadastro de curso sem selecionar tipo de curso","Estar na página /new-course","1. Preencher apenas o campo 'Nome do curso' com 'Curso Teste'
2. Manter 'Tipo de curso' como 'Selecione...'
3. Clicar em 'Cadastrar curso'","Sistema deveria exigir a seleção do tipo","Curso cadastrado com tipo vazio ({label: '', value: ''}).",Reprovado,Alta,evidencias/CT-008.png,BUG-002
CT-009,Cenários Negativos,"Cadastro com data de fim anterior à data de início","Estar na página /new-course","1. Preencher 'Data de início' com '2026-06-15'
2. Preencher 'Data de fim' com '2026-06-10'
3. Preencher demais campos
4. Clicar em 'Cadastrar curso'","Sistema deveria bloquear o cadastro com mensagem de erro sobre datas","Curso cadastrado com datas inconsistentes sem nenhum alerta.",Reprovado,Alta,evidencias/CT-009.png,BUG-003: Sem validação de datas
CT-010,Cenários Negativos,"Cadastro com número de vagas negativo","Estar na página /new-course","1. Preencher 'Número de vagas' com '-5'
2. Preencher demais campos
3. Clicar em 'Cadastrar curso'","Sistema deveria rejeitar valores negativos","Curso cadastrado com vagas negativas (-5).",Reprovado,Alta,evidencias/CT-010.png,BUG-004: Aceita vagas negativas
